Clone name,Accession,Light saturated photosynthetic rate,Stomatal conductance,Transpiration rate,Intrinsic water use efficiency,Instantaneous water use efficiency,Flush size,Leaf area,Leaf dry weight,Specific leaf area,Refcode
CRUZ 7 /14,RUQ 1569,5.31,0.12,1.88,52.53,3.0,6,311.8,1.98,160.5,LAH17A
DOM 14,RUQ 567,2.13,0.05,0.84,47.65,2.71,5,256.9,2.0,130.8,LAH17A
DOM 25,RUQ 673,3.91,0.07,0.81,68.89,5.03,4,157.1,1.02,164.9,LAH17A
DOM 3,RUQ 543,3.47,0.05,0.94,67.96,3.59,3,299.7,2.29,132.3,LAH17A
DOM 30,RUQ 549,2.92,0.06,1.08,54.73,2.79,4,202.6,1.24,169.5,LAH17A
DOM 4,RUQ 544,3.24,0.05,0.87,75.23,4.12,4,216.5,1.54,140.8,LAH17A
EBC 10 /S-401,RUQ 1173,3.08,0.07,1.11,56.07,2.8,4,236.6,1.57,153.3,LAH17A
EBC 148,RUQ 1599,3.04,0.07,0.96,51.75,3.09,5,275.6,1.91,146.3,LAH17A
EBC 5 /S-401,RUQ 1138,3.69,0.07,1.25,52.73,2.85,5,265.3,1.69,158.8,LAH17A
EET 162 [ECU],RUQ 1692,5.35,0.12,1.36,54.85,4.18,5,245.1,1.64,154.0,LAH17A
